bins,mean_value
0,-1.9991852363999998
1,-1.916566808142857
2,-1.8468987238333334
3,-1.7482483991818183
4,-1.6994758964705883
5,-1.69019608
6,-1.675145651
7,-1.6085932698333334
8,-1.5258226889285713
9,-1.4694299819999999
10,-1.410170406214286
11,-1.3812519273636363
12,-1.3385889849
13,-1.31132753735
14,-1.2790598224
15,-1.2790598224
16,-1.2486755209285714
17,-1.2099158799999998
18,-1.1950845802222223
19,-1.1569739923125
20,-1.128387785
21,-1.1129003495714287
22,-1.0890988285714287
23,-1.0634515513
24,-1.03630695025
25,-1.006751803818182
26,-0.9971608136666666
27,-0.9622658616923077
28,-0.9300861864
29,-0.9068111289999999
30,-0.8704533457916667
31,-0.8438366989090909
32,-0.8207884319166667
33,-0.7907687235833333
34,-0.7774544023636363
35,-0.7505316866153847
36,-0.7224604664375
37,-0.7029607950833333
38,-0.6890768592857143
39,-0.6654521540909091
40,-0.6332933889333333
41,-0.6052771508
42,-0.5639011573
43,-0.5196995974615384
44,-0.48167296666666665
45,-0.42725330381818183
46,-0.38177023536363636
47,-0.3578440799090909
48,-0.3163401012
49,-0.278455165
50,-0.19544634485714285
51,-0.11249695433333333
52,-0.04719754509090909
53,-0.0083359239
54,0.027496985466666665
55,0.058624285000000005
56,0.09881307446153846
57,0.14431383018181818
58,0.22211126510344828
59,0.2541109636153846
60,0.278753601
61,0.30223501836363637
62,0.32753127449999997
63,0.3624596054545455
64,0.400446398
65,0.430494006
66,0.4438684292222222
67,0.4518876910833334
68,0.4518876910833334
69,0.47404076879166673
70,0.4969957164999999
71,0.4969957164999999
72,0.5279630617142858
73,0.5617112387272727
74,0.5905809461666667
75,0.6265547741999999
76,0.6602576601666666
77,0.6908696466363636
78,0.7272555466666667
79,0.7738280186666667
80,0.8349217009090908
81,0.91814509775
82,1.0045303535833334
83,1.099542141909091
84,1.3149244694166666
85,1.5011359252857144
86,1.5271572580000001
87,1.645485744090909
88,1.7681186203333332
89,1.9974509418000002
90,1.9974509418000002
91,1.9974509418000002
92,1.9974509418000002
93,1.9974509418000002
94,1.9974509418000002
95,1.9974509418000002
96,1.9974509418000002
97,1.9974509418000002
98,1.9974509418000002
99,1.9974509418000002
