label,predict,mean_values
86,37,21.408901291
71,77,63.863770025641024
36,40,24.410259756923075
55,53,36.757324674358976
26,39,23.475936644
43,46,30.595325331
21,12,3.4319024446153845
5,8,1.967957881692308
90,78,65.1190665215
78,73,58.52074473820512
8,17,6.331456131325
15,34,18.367221307692308
13,10,2.678146185846154
87,91,85.6194310095
56,42,26.56580502025641
38,37,21.408901291
2,0,0.000626994827731
68,72,57.187674827
0,0,0.000626994827731
55,54,37.577917545000005
9,19,7.569005461150001
25,24,11.0722585685
40,44,28.4263283745
7,22,9.5572342115
66,45,29.427497666666667
80,80,67.8515072285
90,93,91.20459627925
29,27,13.185077661794873
47,20,8.218807114875
81,65,47.7025264875
26,27,13.185077661794873
71,79,66.2619328548718
74,62,44.84317483
61,61,43.87770908375
31,43,27.3273943755
92,91,85.6194310095
84,86,77.85753239230769
22,18,6.9643407113589735
12,24,11.0722585685
7,3,0.6744036691025641
73,71,55.42029616512821
11,26,12.5304505115
80,77,63.863770025641024
54,47,31.60805406025641
2,6,1.273230860225
72,73,58.52074473820512
24,45,29.427497666666667
0,0,0.000626994827731
94,93,91.20459627925
5,23,10.179761631076923
0,0,0.000626994827731
11,4,0.8382144926
46,44,28.4263283745
33,12,3.4319024446153845
22,46,30.595325331
0,4,0.8382144926
9,12,3.4319024446153845
92,94,95.47274590825
70,54,37.577917545000005
58,50,34.497946723
15,31,15.650957247179486
27,33,17.25529613325
8,14,4.365864191384615
55,56,39.29615810075
84,88,80.72169986769231
32,29,14.411674593076922
70,56,39.29615810075
19,23,10.179761631076923
31,24,11.0722585685
93,94,95.47274590825
69,60,42.82116993205128
46,31,15.650957247179486
8,18,6.9643407113589735
88,85,75.905270438
87,12,3.4319024446153845
83,74,59.98503932525
90,86,77.85753239230769
19,22,9.5572342115
91,93,91.20459627925
38,31,15.650957247179486
0,2,0.5138054681249999
12,21,8.97668175623077
93,93,91.20459627925
15,33,17.25529613325
1,1,0.3401873717435897
42,33,17.25529613325
90,89,82.33796376725
0,0,0.000626994827731
42,37,21.408901291
49,63,45.923597935
46,40,24.410259756923075
20,20,8.218807114875
53,51,35.22636610666667
88,86,77.85753239230769
49,50,34.497946723
83,81,69.45429034666667
42,53,36.757324674358976
27,20,8.218807114875
65,59,41.8301027095
24,20,8.218807114875
41,41,25.48702521125
11,10,2.678146185846154
81,77,63.863770025641024
66,59,41.8301027095
40,56,39.29615810075
84,75,61.508023170256415
89,16,5.649390515410256
18,0,0.000626994827731
88,88,80.72169986769231
42,38,22.403513994102564
92,94,95.47274590825
8,10,2.678146185846154
51,50,34.497946723
72,53,36.757324674358976
6,0,0.000626994827731
45,34,18.367221307692308
54,60,42.82116993205128
36,34,18.367221307692308
26,28,13.817228847250002
1,1,0.3401873717435897
85,78,65.1190665215
21,23,10.179761631076923
61,80,67.8515072285
92,93,91.20459627925
67,71,55.42029616512821
91,94,95.47274590825
77,50,34.497946723
94,91,85.6194310095
89,86,77.85753239230769
28,21,8.97668175623077
31,42,26.56580502025641
55,60,42.82116993205128
89,91,85.6194310095
70,73,58.52074473820512
83,79,66.2619328548718
0,0,0.000626994827731
38,36,20.25680279794872
55,39,23.475936644
79,75,61.508023170256415
56,53,36.757324674358976
22,27,13.185077661794873
27,29,14.411674593076922
89,84,74.14800585153846
23,22,9.5572342115
30,35,19.353559166
81,84,74.14800585153846
74,73,58.52074473820512
69,64,46.908476543333336
49,49,33.639622418461535
33,37,21.408901291
93,90,83.90232633897436
38,48,32.606277930750004
65,67,49.94745357675
19,23,10.179761631076923
2,3,0.6744036691025641
66,59,41.8301027095
51,54,37.577917545000005
40,30,15.04818010625
75,83,72.72841460625
10,9,2.333873215425
86,84,74.14800585153846
59,58,40.89456073102564
54,50,34.497946723
87,84,74.14800585153846
43,31,15.650957247179486
46,45,29.427497666666667
34,31,15.650957247179486
53,41,25.48702521125
37,26,12.5304505115
82,63,45.923597935
92,94,95.47274590825
67,65,47.7025264875
86,86,77.85753239230769
43,52,36.04160583275
31,7,1.640340457925
76,74,59.98503932525
17,0,0.000626994827731
20,21,8.97668175623077
43,40,24.410259756923075
12,12,3.4319024446153845
28,22,9.5572342115
14,21,8.97668175623077
91,92,87.86525138384614
