label,predict
86,37
71,77
36,40
55,53
26,39
43,46
21,12
5,8
90,78
78,73
8,17
15,34
13,10
87,91
56,42
38,37
2,0
68,72
0,0
55,54
9,19
25,24
40,44
7,22
66,45
80,80
90,93
29,27
47,20
81,65
26,27
71,79
74,62
61,61
31,43
92,91
84,86
22,18
12,24
7,3
73,71
11,26
80,77
54,47
2,6
72,73
24,45
0,0
94,93
5,23
0,0
11,4
46,44
33,12
22,46
0,4
9,12
92,94
70,54
58,50
15,31
27,33
8,14
55,56
84,88
32,29
70,56
19,23
31,24
93,94
69,60
46,31
8,18
88,85
87,12
83,74
90,86
19,22
91,93
38,31
0,2
12,21
93,93
15,33
1,1
42,33
90,89
0,0
42,37
49,63
46,40
20,20
53,51
88,86
49,50
83,81
42,53
27,20
65,59
24,20
41,41
11,10
81,77
66,59
40,56
84,75
89,16
18,0
88,88
42,38
92,94
8,10
51,50
72,53
6,0
45,34
54,60
36,34
26,28
1,1
85,78
21,23
61,80
92,93
67,71
91,94
77,50
94,91
89,86
28,21
31,42
55,60
89,91
70,73
83,79
0,0
38,36
55,39
79,75
56,53
22,27
27,29
89,84
23,22
30,35
81,84
74,73
69,64
49,49
33,37
93,90
38,48
65,67
19,23
2,3
66,59
51,54
40,30
75,83
10,9
86,84
59,58
54,50
87,84
43,31
46,45
34,31
53,41
37,26
82,63
92,94
67,65
86,86
43,52
31,7
76,74
17,0
20,21
43,40
12,12
28,22
14,21
91,92
9,25
21,11
0,0
80,81
74,77
58,41
90,88
32,40
27,30
6,7
9,34
41,49
33,36
66,61
18,7
15,27
86,85
29,27
0,7
6,19
18,17
81,85
4,11
47,48
21,18
69,42
91,80
94,94
94,87
7,26
54,48
65,79
76,75
40,42
94,92
84,86
0,6
80,93
12,21
35,42
2,2
0,0
36,39
92,91
54,55
27,26
66,67
0,0
75,22
37,48
0,5
63,66
3,3
36,19
59,59
75,73
19,10
18,14
57,64
72,77
91,91
52,65
31,32
70,50
52,51
58,61
80,84
81,86
6,7
59,64
28,39
78,65
94,94
16,30
66,64
86,83
16,6
77,76
5,11
5,3
21,18
6,10
51,54
85,83
63,64
8,0
26,27
83,78
54,59
36,42
0,0
4,13
27,28
77,63
16,18
72,70
60,57
6,0
20,32
78,80
83,63
9,7
50,51
49,48
46,47
50,68
39,39
14,22
18,17
8,42
3,3
46,40
86,94
20,16
1,5
92,89
47,63
0,33
91,92
16,34
57,57
69,70
20,24
10,2
43,47
62,60
58,49
0,1
16,17
80,42
42,46
26,30
25,31
30,18
61,45
0,0
8,9
78,72
74,33
19,17
37,28
20,24
14,21
73,48
79,77
44,42
37,22
21,13
62,64
47,39
60,54
66,67
45,49
87,87
2,0
74,80
85,87
49,61
28,31
0,1
4,0
82,84
91,92
94,91
60,65
3,3
5,2
11,7
53,55
9,0
16,12
23,6
1,2
0,0
20,17
48,61
86,91
36,36
46,44
76,69
32,52
4,8
24,33
46,56
16,15
69,71
68,54
81,92
26,53
23,31
44,53
80,79
24,14
7,0
67,66
22,15
0,1
63,69
54,56
68,68
26,19
43,40
84,87
66,54
42,41
3,6
39,34
16,10
51,43
29,32
59,57
87,87
27,41
86,71
73,76
39,34
70,69
44,60
37,44
65,59
0,0
46,37
53,50
18,7
58,60
12,28
88,87
17,6
62,59
9,10
83,84
64,68
88,86
19,23
45,31
55,48
58,60
48,63
66,70
72,73
80,28
75,80
94,91
93,94
19,6
85,83
68,72
90,93
40,46
2,0
11,16
79,76
65,57
54,59
91,92
39,29
2,4
93,85
52,54
64,61
74,73
20,21
18,19
18,15
40,22
69,68
14,9
46,49
22,45
26,23
65,60
17,21
93,93
27,2
11,11
61,62
50,44
9,22
8,0
26,25
24,28
75,76
87,89
12,7
50,56
67,63
69,78
58,56
72,76
84,86
84,84
24,18
44,57
20,18
71,63
83,78
61,66
53,31
0,8
0,13
7,8
42,50
23,27
57,70
45,54
88,33
90,91
39,38
39,12
4,7
10,17
35,22
40,31
74,81
14,13
73,73
64,54
35,24
83,82
1,2
52,66
53,55
13,19
88,87
26,31
85,87
69,63
0,0
0,0
0,7
0,0
80,82
85,80
57,68
3,0
57,69
63,63
89,91
15,17
31,23
63,53
43,42
9,25
33,51
47,44
72,69
0,0
91,86
5,4
87,87
7,83
60,65
83,82
65,67
75,77
6,5
47,41
20,13
71,61
38,41
89,75
11,12
20,78
40,34
29,14
58,56
64,58
43,53
54,56
40,47
0,0
6,4
5,13
74,79
55,52
0,0
73,82
14,18
47,55
49,51
37,44
21,18
33,27
78,77
46,49
83,84
29,13
4,11
69,73
7,6
45,50
46,32
50,52
87,94
20,26
15,03
84,85
8,22
58,60
56,61
22,23
32,35
61,62
44,37
29,12
29,17
35,38
30,35
29,26
0,0
0,0
3,3
16,26
70,78
51,44
33,21
80,84
2,4
55,59
85,84
82,84
40,42
11,31
88,89
68,73
75,84
10,18
81,91
43,41
37,31
85,80
59,59
49,52
9,10
48,63
45,37
75,78
76,67
71,69
4,1
38,49
61,57
44,59
28,35
1,3
0,0
15,13
78,65
39,53
11,12
30,29
77,82
67,65
79,82
81,84
56,66
78,82
61,60
0,0
0,0
82,68
88,83
49,40
85,85
80,80
65,60
60,71
38,37
51,48
44,39
80,82
53,36
24,10
31,12
0,0
70,74
32,41
55,60
50,50
53,54
16,16
58,54
19,16
44,38
77,82
0,0
18,18
61,56
64,72
47,37
21,31
23,22
94,92
62,61
14,15
38,33
9,8
